    PID TTY          TIME CMD
   1803 ?        00:00:00 at-spi-bus-laun
   1178 ?        00:00:00 colord
   1886 ?        00:00:00 dconf-service
   2181 ?        00:00:00 evolution-addre
   2148 ?        00:00:00 evolution-calen
   1950 ?        00:00:00 evolution-alarm
   1900 ?        00:00:00 evolution-sourc
   1733 ?        00:00:00 gcr-ssh-agent
   1648 tty2     00:00:00 gdm-wayland-ses
    753 ?        00:00:00 gnome-remote-de
   1664 tty2     00:00:00 gnome-session-b
   1764 ?        00:00:00 gnome-session-b
   1734 ?        00:00:00 gnome-session-c
   1885 ?        00:00:00 gnome-shell-cal
   2473 ?        00:00:00 gnome-terminal-
   2104 ?        00:00:00 goa-daemon
   2139 ?        00:00:00 goa-identity-se
   1912 ?        00:00:00 gsd-a11y-settin
   1918 ?        00:00:00 gsd-color
   1921 ?        00:00:00 gsd-datetime
   1955 ?        00:00:00 gsd-disk-utilit
   1923 ?        00:00:00 gsd-housekeepin
   1925 ?        00:00:00 gsd-keyboard
   1929 ?        00:00:00 gsd-media-keys
   1934 ?        00:00:00 gsd-power
   2269 ?        00:00:00 gsd-printer
   1937 ?        00:00:00 gsd-print-notif
   1942 ?        00:00:00 gsd-rfkill
   1944 ?        00:00:00 gsd-screensaver
   1945 ?        00:00:00 gsd-sharing
   1947 ?        00:00:00 gsd-smartcard
   1948 ?        00:00:00 gsd-sound
   1951 ?        00:00:00 gsd-wacom
   2144 ?        00:00:00 gvfs-afc-volume
   1743 ?        00:00:00 gvfsd
   1756 ?        00:00:00 gvfsd-fuse
   2240 ?        00:00:00 gvfsd-metadata
   2239 ?        00:00:00 gvfsd-trash
   2155 ?        00:00:00 gvfs-goa-volume
   2168 ?        00:00:00 gvfs-gphoto2-vo
   2163 ?        00:00:00 gvfs-mtp-volume
   2018 ?        00:00:00 gvfs-udisks2-vo
   2086 ?        00:00:00 ibus-dconf
   2210 ?        00:00:00 ibus-engine-sim
   2099 ?        00:00:01 ibus-extension-
   2109 ?        00:00:00 ibus-portal
   1213 ?        00:00:00 packagekitd
    770 ?        00:00:00 power-profiles-
   1086 ?        00:00:00 rtkit-daemon
    783 ?        00:00:00 switcheroo-cont
   2274 ?        00:00:00 tracker-miner-f
    791 ?        00:00:00 udisksd
   1217 ?        00:00:00 upowerd
   2401 ?        00:00:00 xdg-desktop-por
   2416 ?        00:00:00 xdg-desktop-por
   2442 ?        00:00:00 xdg-desktop-por
   1624 ?        00:00:00 xdg-document-po
   1652 ?        00:00:00 xdg-permission-
    760 ?        00:00:00 polkitd
    773 ?        00:00:00 snapd
    364 ?        00:00:00 systemd-journal
    774 ?        00:00:00 systemd-logind
    562 ?        00:00:00 systemd-oomd
    565 ?        00:00:00 systemd-resolve
    574 ?        00:00:00 systemd-timesyn
    421 ?        00:00:00 systemd-udevd
